"No 및 소계","1차사업소","2차사업소","3차사업소","4차사업소","사용량","사용금액","사용량","사용금액","사용량","사용금액"
"236","경북본부","기획관리실","","","173045","21368640","0","0","308.97","37958"
"237","경북본부","전력관리처","","","96863","25135380","0","0","0","0"
"경북본부 소계","","","","","903265","127203070","0","0","1746.64","259124"
"238","부산울산본부","","","","567","28760","0","0","0","0"
"239","부산울산본부","울산전력지사","","","160850","24256930","0","0","0","0"
"240","부산울산본부","북부산전력지사","","","6831","4801070","0","0","0","0"
"241","부산울산본부","동부산전력지사","","","101687","19530830","0","0","0","0"
"242","부산울산본부","동부산전력지사","송전부","","26","1412220","0","0","0","0"
"243","부산울산본부","남부산지사","","","98719","10566970","0","0","0","0"
"244","부산울산본부","북부산지사","","","117098","13213000","0","0","0","0"
"245","부산울산본부","동래지사","","","75542","10011950","0","0","0","0"
"246","부산울산본부","울산지사","","","111582","14173080","0","0","1596.36","232368"
"247","부산울산본부","양산지사","","","79406","8014130","0","0","2604.45","312177"
"248","부산울산본부","영도지사","","","34508","4165450","0","0","0","0"
"249","부산울산본부","동울산지사","","","54288","7624840","0","0","0","0"
"250","부산울산본부","김해지사","","","83994","12165650","0","0","833.86","118518"
"251","부산울산본부","중부산지사","","","46011","6411690","0","0","0","0"
"252","부산울산본부","기장지사","","","50337","7160780","0","0","1925.05","284241"
"253","부산울산본부","서울산지사","","","34562","5836520","0","0","1559.92","200991"
"254","부산울산본부","서부산지사","","","1087","166940","0","0","0","0"
"255","부산울산본부","전력사업처","","","3884","501520","0","0","0","0"
"256","부산울산본부","전력관리처","","","70941","13501380","0","0","0","0"
"257","부산울산본부","전력관리처","송전운영부","송전운영파트","8135","2049720","0","0","0","0"
"258","부산울산본부","기획관리실","","","563091","71202690","0","0","0","0"
"259","부산울산본부","서부산전력지사","","","9808","1920370","0","0","0","0"
"부산울산본부 소계","","","","","1712954","238716490","0","0","8519.64","1148295"
"260","경남본부","함안전력지사","","","911799","123797660","0","0","0","0"
"261","경남본부","진주전력지사","","","47890","6505790","0","0","0","0"
"262","경남본부","통영전력지사","","","54368","10053240","0","0","0","0"
"263","경남본부","마산지사","","","105774","14526630","0","0","1395.49","208656"
